-2089.0;1269.0
-1255.0;1271.0
-418.0;1265.0
417.0;1269.0
1253.5;1267.0
2088.0;1269.0
-2088.0;847.0
-1255.0;851.0
-419.0;846.0
417.0;844.0
1254.0;843.0
2087.5;846.0
-2088.0;423.0
-1254.0;422.5
-418.5;421.5
417.5;420.0
1254.0;419.0
2087.0;422.0
-2088.0;-9.0
-1254.0;-10.0
-418.0;-8.0
418.0;-9.0
1254.0;-11.0
2088.0;-7.0
-2088.0;-440.0
-1254.0;-443.0
-418.0;-436.5
418.5;-437.5
1254.0;-440.0
2087.0;-438.0
-2088.0;-867.0
-1254.0;-870.0
-419.0;-862.0
419.5;-864.0
1254.5;-864.0
2087.5;-867.0
-2087.0;-1289.0
-1252.5;-1290.0
-419.5;-1288.0
420.0;-1289.0
1255.0;-1287.5
2087.0;-1289.0
