-2089.0;1272.0
-1255.0;1280.0
-418.0;1282.0
417.0;1279.0
1253.5;1284.0
2088.0;1278.0
-2088.0;848.0
-1255.0;853.0
-419.0;857.0
417.0;856.0
1254.0;854.0
2087.5;850.0
-2088.0;427.0
-1254.0;433.0
-418.5;436.0
417.5;431.0
1254.0;428.0
2087.0;422.0
-2088.0;0.0
-1254.0;0.0
-418.0;0.0
418.0;0.0
1254.0;0.0
2088.0;0.0
-2088.0;-434.0
-1254.0;-424.0
-418.0;-422.0
418.5;-418.0
1254.0;-424.0
2087.0;-426.0
-2088.0;-861.0
-1254.0;-842.0
-419.0;-841.0
419.5;-848.0
1254.5;-848.0
2087.5;-852.0
-2087.0;-1281.0
-1252.5;-1276.0
-419.5;-1279.0
420.0;-1270.0
1255.0;-1275.0
2087.0;-1277.0
